Index,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt
71,1424696639354,27922196241000,-8.986636,-3.4237084,-1.01574,a,gear,gear_1,stand
72,1424696639364,27922206334000,-8.944737,-3.502717,-0.9552865,a,gear,gear_1,stand
73,1424696639374,27922216138000,-8.933365,-3.558981,-0.93493575,a,gear,gear_1,stand
74,1424696639384,27922226228000,-8.945336,-3.5847185,-0.9415198,a,gear,gear_1,stand
75,1424696639394,27922236032000,-8.978855,-3.6176388,-0.9032126,a,gear,gear_1,stand
76,1424696639404,27922246125000,-9.050681,-3.6541502,-0.9056068,a,gear,gear_1,stand
77,1424696639414,27922255928000,-9.102157,-3.70383,-0.96665895,a,gear,gear_1,stand
78,1424696639424,27922266018000,-9.180567,-3.7469256,-1.003769,a,gear,gear_1,stand
79,1424696639434,27922276086000,-9.237429,-3.8253357,-1.0139444,a,gear,gear_1,stand
80,1424696639444,27922285981000,-9.2787285,-3.8905778,-1.009156,a,gear,gear_1,stand
81,1424696639454,27922295786000,-9.279327,-3.957017,-1.01574,a,gear,gear_1,stand
82,1424696639464,27922306226000,-9.336189,-4.000711,-0.97025025,a,gear,gear_1,stand
83,1424696639474,27922315676000,-9.307459,-4.0521865,-0.9684546,a,gear,gear_1,stand
84,1424696639484,27922325770000,-9.297882,-4.0581717,-0.94092125,a,gear,gear_1,stand
85,1424696639494,27922335646000,-9.281123,-4.0545807,-0.9959879,a,gear,gear_1,stand
86,1424696639504,27922345665000,-9.2907,-4.03004,-0.95947635,a,gear,gear_1,stand
87,1424696639514,27922355465000,-9.312247,-4.0019083,-0.95827925,a,gear,gear_1,stand
88,1424696639524,27922365637000,-9.294291,-3.98874,-0.91458505,a,gear,gear_1,stand
89,1424696639533,27922375361000,-9.271546,-3.965995,-0.943914,a,gear,gear_1,stand
90,1424696639544,27922385451000,-9.205706,-3.9294837,-0.8996213,a,gear,gear_1,stand
91,1424696639553,27922395261000,-9.192537,-3.9013517,-0.8912416,a,gear,gear_1,stand
92,1424696639564,27922405347000,-9.1668,-3.9067385,-0.9498995,a,gear,gear_1,stand
93,1424696639574,27922415154000,-9.162011,-3.8983588,-0.9959879,a,gear,gear_1,stand
94,1424696639583,27922425244000,-9.255983,-3.9085343,-1.0522517,a,gear,gear_1,stand
95,1424696639594,27922435119000,-9.283517,-3.876811,-1.0881647,a,gear,gear_1,stand
96,1424696639604,27922445136000,-9.312247,-3.8630445,-1.1246762,a,gear,gear_1,stand
97,1424696639613,27922454938000,-9.324219,-3.8426938,-1.1186907,a,gear,gear_1,stand
98,1424696639624,27922465101000,-9.303867,-3.8720226,-1.0720038,a,gear,gear_1,stand
